Title,Description,Expiration Date,year
Releasable Conical Roller Clutch,Releasable Conical Roller Clutch,2018-01-01,2018
"Computer Implemented Empirical Mode Decomposition Method, Apparatus, And Article Of Manufacture For Two-Dimensional Signals","Computer Implemented Empirical Mode Decomposition Method, Apparatus, And Article Of Manufacture For Two-Dimensional Signals",2018-01-01,2018
Emergency Flight Control System Using One Engine And Fuel Transfer,Emergency Flight Control System Using One Engine And Fuel Transfer,2018-01-01,2018
Low-Shear Microencapsulation & Electrostatic Coating Process,Low-Shear Microencapsulation & Electrostatic Coating Process,2018-01-01,2018
Microencapsulation And Electrostatic Processing Device (MEPS),Microencapsulation And Electrostatic Processing Device (MEPS),2018-01-01,2018
A Flutterometer Flight Test Tool,A Flutterometer Flight Test Tool,2018-01-01,2018
INSITU Activation Of Microcapsules,INSITU Activation Of Microcapsules,2018-01-01,2018
Microresonator And Associated Method For Producing And Controlling Photonic Signals With A Photonic Bandgap Delay Apparatus,Microresonator And Associated Method For Producing And Controlling Photonic Signals With A Photonic Bandgap Delay Apparatus,2018-01-01,2018
Protein Crystal Encapsulation Process,Protein Crystal Encapsulation Process,2018-01-01,2018
Quantitative Risk Assessment Software (QRAS) System,Quantitative Risk Assessment Software (QRAS) System,2018-01-01,2018
Automated Triangle Geometry Processing For Surface Modeling And Cartesian Grid Generation (CART3D),Automated Triangle Geometry Processing For Surface Modeling And Cartesian Grid Generation (CART3D),2018-01-01,2018
On-Chip Learning In VLSI Hardware,On-Chip Learning In VLSI Hardware,2019-01-01,2019
Gas Sensing Diode,Gas Sensing Diode,2019-01-01,2019
Hollow Polyimide Microsphere,Hollow Polyimide Microsphere,2019-01-01,2019
"Empirical Mode Decomposition Apparatus, Method, And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting","Empirical Mode Decomposition Apparatus, Method, And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting",2019-01-01,2019
"Electro-Mechanically Actuated Magnetic Ring With Load Sensing Feedback And Closed Loop Control Docking/Berthing System For Alignment And Mating Of Multiple Vehicles, Structures, And/or Assemblies","Electro-Mechanically Actuated Magnetic Ring With Load Sensing Feedback And Closed Loop Control Docking/Berthing System For Alignment And Mating Of Multiple Vehicles, Structures, And/or Assemblies",2019-01-01,2019
Advanced Structural/Inflatable Hybrid Spacecraft Habitation Module,Advanced Structural/Inflatable Hybrid Spacecraft Habitation Module,2019-01-01,2019
Video Image Stabilization And Registration (VISAR),Video Image Stabilization And Registration (VISAR),2019-01-01,2019
A Novel Technique That Allows For The Deposition And Patterning Of A Catalyst Onto A Surface For The Growth Of Single-Walled Carbon Nanotubes,A Novel Technique That Allows For The Deposition And Patterning Of A Catalyst Onto A Surface For The Growth Of Single-Walled Carbon Nanotubes,2019-01-01,2019
Magnetically Suspended Miniature Fluid Pump And Method Of Designing The Same,Magnetically Suspended Miniature Fluid Pump And Method Of Designing The Same,2019-01-01,2019
Fluorescent On-Off Chemical Sensors,Fluorescent On-Off Chemical Sensors,2019-01-01,2019
Solar-Powered Refrigeration System,Solar-Powered Refrigeration System,2019-01-01,2019
Solar Powered Refrigeration System,Solar Powered Refrigeration System,2019-01-01,2019
Solar Powered Refrigeration System,Solar Powered Refrigeration System,2019-01-01,2019
"A Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3 Bis (3-Aminophenoxyl) Benzene","A Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3 Bis (3-Aminophenoxyl) Benzene",2019-01-01,2019
Generalized Fluid System Simulation Program (GFSSP) Version 2.01c,Generalized Fluid System Simulation Program (GFSSP) Version 2.01c,2019-01-01,2019
Polyimide Foam From Ether-Containing Monomeric Solutions,Polyimide Foam From Ether-Containing Monomeric Solutions,2019-01-01,2019
Macro-Fiber Composite Actuator With Interdigitated Electrodes,Macro-Fiber Composite Actuator With Interdigitated Electrodes,2019-01-01,2019
Polyimide Foam From Monomeric Solutions,Polyimide Foam From Monomeric Solutions,2019-01-01,2019
"Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3-Bix(3-Aminophenoxyl)Benzene","Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3-Bix(3-Aminophenoxyl)Benzene",2019-01-01,2019
Optimization Of Ultrasonic Method For Assessment Of Changes In Intracranial Pressure Through Measurement Of Skull Expansion,Optimization Of Ultrasonic Method For Assessment Of Changes In Intracranial Pressure Through Measurement Of Skull Expansion,2019-01-01,2019
Aerodynamic Design Using Neural Networks,Aerodynamic Design Using Neural Networks,2019-01-01,2019
Blood Pump Bearing System,Blood Pump Bearing System,2019-01-01,2019
Optical Path Switching Based Differential Absorption Radiometry For Substance Detection,Optical Path Switching Based Differential Absorption Radiometry For Substance Detection,2019-01-01,2019
Hollow Polyimide Microspheres,Hollow Polyimide Microspheres,2019-01-01,2019
Variable Specific Impulse Magnetoplasma Rocket (VASIMR),Variable Specific Impulse Magnetoplasma Rocket (VASIMR),2019-01-01,2019
Hollow Polyimide Microspheres,Hollow Polyimide Microspheres,2019-01-01,2019
One-Atmosphere Uniform Glow Discharge Plasma Gas Flow Acceleration,One-Atmosphere Uniform Glow Discharge Plasma Gas Flow Acceleration,2019-01-01,2019
A Method For Fabricating A Piezoelectric Composite Apparatus,A Method For Fabricating A Piezoelectric Composite Apparatus,2020-01-01,2020
A Method Of Encouraging Physiological Self-Regulation Through Modulation Of An Operator's Control Input To A Video Game Or Training Simulator,A Method Of Encouraging Physiological Self-Regulation Through Modulation Of An Operator's Control Input To A Video Game Or Training Simulator,2020-01-01,2020
Panoramic Refracting Optic (PRO),Panoramic Refracting Optic (PRO),2020-01-01,2020
Precision Penetration Control System For The Friction Stir Welding (FSW) Retractable Pin Tool,Precision Penetration Control System For The Friction Stir Welding (FSW) Retractable Pin Tool,2020-01-01,2020
GRAVITY RESPONSIVE NADH OXIDASE OF THE PLASMA MEMBRANE,GRAVITY RESPONSIVE NADH OXIDASE OF THE PLASMA MEMBRANE,2020-01-01,2020
Bio-Electric Keyboard/Mouse/Joystick Interface Software/Algorithm,Bio-Electric Keyboard/Mouse/Joystick Interface Software/Algorithm,2020-01-01,2020
Edge Triggered Apparatus And Method For Measuring Strain In Bragg Gratings,Edge Triggered Apparatus And Method For Measuring Strain In Bragg Gratings,2020-01-01,2020
Aluminum-Silicon Alloy Having Improved Properties At Elevated Temperatures And Articles Cast Therefrom,Aluminum-Silicon Alloy Having Improved Properties At Elevated Temperatures And Articles Cast Therefrom,2020-01-01,2020
Production Of Functional Proteins: Balance Of Shear Stress And Gravity,Production Of Functional Proteins: Balance Of Shear Stress And Gravity,2020-01-01,2020
Microencapsulated Bioactive Agents And Method Of Making,Microencapsulated Bioactive Agents And Method Of Making,2020-01-01,2020
"Collapsable, Light, Portable Human Hyperbaric Chamber/Airlock System","Collapsable, Light, Portable Human Hyperbaric Chamber/Airlock System",2020-01-01,2020
Detection Of Subterranean Metal Objects Using Differential Spectral Processing,Detection Of Subterranean Metal Objects Using Differential Spectral Processing,2020-01-01,2020
Method For Constructing Composite Response Surfaces By Combining Neural Networks With Polynomial Interpolation Or Estimation Techniques,Method For Constructing Composite Response Surfaces By Combining Neural Networks With Polynomial Interpolation Or Estimation Techniques,2020-01-01,2020
A Direct-To Controller Tool (A Component Of The CTAS Software Suite),A Direct-To Controller Tool (A Component Of The CTAS Software Suite),2020-01-01,2020
"Shaping, Tuning, And Positioning Membrane Structures Using Electroactive Polymer Actuators","Shaping, Tuning, And Positioning Membrane Structures Using Electroactive Polymer Actuators",2020-01-01,2020
Ultrasonic Technique To Measure Intracranial Pressure,Ultrasonic Technique To Measure Intracranial Pressure,2020-01-01,2020
Distributed Rayleigh Scatter Fiber Optic Strain Sensor,Distributed Rayleigh Scatter Fiber Optic Strain Sensor,2020-01-01,2020
High Precision Solid State Wavelength Monitor,High Precision Solid State Wavelength Monitor,2020-01-01,2020
Aluminum-Silicon Alloy Having Improved Properties At Elevated Temperatures And Process For Producing Cast Articles Therefrom,Aluminum-Silicon Alloy Having Improved Properties At Elevated Temperatures And Process For Producing Cast Articles Therefrom,2020-01-01,2020
Endothelium Preserving Microwave Treatment For Atherosclerosis,Endothelium Preserving Microwave Treatment For Atherosclerosis,2020-01-01,2020
Extension Of The Empirical Mode Decomposition Method To A Time Series Of 2-Dimensional Grid Maps,Extension Of The Empirical Mode Decomposition Method To A Time Series Of 2-Dimensional Grid Maps,2020-01-01,2020
MORPHING TECHNIQUE FOR ACCELERATED EVOLUTIONARY SYNTHESIS OF ELECTRONIC CIRCUITS,MORPHING TECHNIQUE FOR ACCELERATED EVOLUTIONARY SYNTHESIS OF ELECTRONIC CIRCUITS,2020-01-01,2020
Single Laser Sweep Full S-Parameter Characterization Of Fiber Bragg Gratings,Single Laser Sweep Full S-Parameter Characterization Of Fiber Bragg Gratings,2020-01-01,2020
Endothelium Preserving Microwave Treatment For Atherosclerosis,Endothelium Preserving Microwave Treatment For Atherosclerosis,2020-01-01,2020
MEMS Devices For Spacecraft Thermal Control Applications,MEMS Devices For Spacecraft Thermal Control Applications,2020-01-01,2020
Electrically Potentiated Growth Of Mammalian Neuronal Tissue Facilitated By Rotating Wall Vessel Culture,Electrically Potentiated Growth Of Mammalian Neuronal Tissue Facilitated By Rotating Wall Vessel Culture,2020-01-01,2020
Estimated Spectrum Adaptive Postfilter (ESAP) And The Iterative Prepost Filtering (IPF) Algorithms,Estimated Spectrum Adaptive Postfilter (ESAP) And The Iterative Prepost Filtering (IPF) Algorithms,2020-01-01,2020
Stress Relieved Zee Electrical Interconnect,Stress Relieved Zee Electrical Interconnect,2020-01-01,2020
High Performance / High Temperature Resins For Infusion And Transfer Molding Processes,High Performance / High Temperature Resins For Infusion And Transfer Molding Processes,2020-01-01,2020
Active Antenna Combined With Non-Ferrous Current Probe.,Active Antenna Combined With Non-Ferrous Current Probe.,2020-01-01,2020
Gasket Assembly For Sealing Mating Surfaces,Gasket Assembly For Sealing Mating Surfaces,2020-01-01,2020
Endothelium Preserving Microwave Treatment For Atherosclerosis,Endothelium Preserving Microwave Treatment For Atherosclerosis,2020-01-01,2020
Champagne Heat Pump,Champagne Heat Pump,2021-01-01,2021
Locating Concealed Objects Using Spectral Signatures,Locating Concealed Objects Using Spectral Signatures,2021-01-01,2021
Hypergolic Ignitor Assembly,Hypergolic Ignitor Assembly,2021-01-01,2021
Phase/Matrix Transformation Weld Process And Apparatus,Phase/Matrix Transformation Weld Process And Apparatus,2021-01-01,2021
Method For Determining The Three-Dimensional Structure Of A Protein,Method For Determining The Three-Dimensional Structure Of A Protein,2021-01-01,2021
X-Ray Crystallography Reagent,X-Ray Crystallography Reagent,2021-01-01,2021
Medium Frequency Pseudo Noise Geological Radar,Medium Frequency Pseudo Noise Geological Radar,2021-01-01,2021
Variable Shadow Screen For Optical Devices,Variable Shadow Screen For Optical Devices,2021-01-01,2021
Method For Selective Thermal Ablation,Method For Selective Thermal Ablation,2021-01-01,2021
Computer Program For Microwave Antenna,Computer Program For Microwave Antenna,2021-01-01,2021
"Advanced, Large Volume, Highly Loaded, Hybrid Inflatable Pressure Vessel","Advanced, Large Volume, Highly Loaded, Hybrid Inflatable Pressure Vessel",2021-01-01,2021
Passive Noncoherent Tracking Of A Data-Modulated Signal,Passive Noncoherent Tracking Of A Data-Modulated Signal,2021-01-01,2021
Mass Measurement During Fluid Flow Using An Integrated Sonic/Microwave Detector.,Mass Measurement During Fluid Flow Using An Integrated Sonic/Microwave Detector.,2021-01-01,2021
Flexshield (Flexible Multi-Shock Shield Technology),Flexshield (Flexible Multi-Shock Shield Technology),2021-01-01,2021
Development And Characterization Of A Three-Dimensional Tissue Culture Model Of Bone,Development And Characterization Of A Three-Dimensional Tissue Culture Model Of Bone,2021-01-01,2021
"Liquid Crystalline Thermosets From Ester, Ester-Imide, And Ester-Amide Oligomers","Liquid Crystalline Thermosets From Ester, Ester-Imide, And Ester-Amide Oligomers",2021-01-01,2021
Phase/Matrix Transformation Weld Process And Apparatus,Phase/Matrix Transformation Weld Process And Apparatus,2021-01-01,2021
Method Of Improving A Digital Image Having White Zones,Method Of Improving A Digital Image Having White Zones,2021-01-01,2021
Self-Activating System And Method For Alerting When An Object Or Person Is Left Unattended,Self-Activating System And Method For Alerting When An Object Or Person Is Left Unattended,2021-01-01,2021
Proximity Sensor,Proximity Sensor,2021-01-01,2021
MEMS Based Acoustic Array,MEMS Based Acoustic Array,2021-01-01,2021
Giant Magnetoresistive Based Self-Nulling Probe For Deep Flaw Detection,Giant Magnetoresistive Based Self-Nulling Probe For Deep Flaw Detection,2021-01-01,2021
"Liquid Crystalline Thermosets From Oligo-Esters, Ester-Imides And Ester-Amides","Liquid Crystalline Thermosets From Oligo-Esters, Ester-Imides And Ester-Amides",2021-01-01,2021
Improvement To The Multiscale Retinex With Color Restoration,Improvement To The Multiscale Retinex With Color Restoration,2021-01-01,2021
Dual Transmission Interface For Passive Fetal Heart Monitoring,Dual Transmission Interface For Passive Fetal Heart Monitoring,2021-01-01,2021
Structural Tailored High Displacement Ferro-Electric Sensors And Actuators,Structural Tailored High Displacement Ferro-Electric Sensors And Actuators,2021-01-01,2021
Growth Stimulation Of Biological Cells And Tissue By Electromagnetic Fields And Uses Thereof,Growth Stimulation Of Biological Cells And Tissue By Electromagnetic Fields And Uses Thereof,2021-01-01,2021
Process For Coating Substrates With Catalyst Materials,Process For Coating Substrates With Catalyst Materials,2021-01-01,2021
Lean Direct Injection Combustor/Multi Point Integrate Module Fuel-Air Mixer,Lean Direct Injection Combustor/Multi Point Integrate Module Fuel-Air Mixer,2021-01-01,2021
Liquefied Natural Gas Fuel Tank,Liquefied Natural Gas Fuel Tank,2021-01-01,2021
Passive Ball Capture Latch Docking Mechanism,Passive Ball Capture Latch Docking Mechanism,2021-01-01,2021
Process For Producing A Cast Article From A Hypereutectic Aluminum-Silicon Alloy,Process For Producing A Cast Article From A Hypereutectic Aluminum-Silicon Alloy,2021-01-01,2021
Inverse Tomographic Approach To Create Arbitrary Sidewall Geometries In 3D Using LiGA Technologies,Inverse Tomographic Approach To Create Arbitrary Sidewall Geometries In 3D Using LiGA Technologies,2021-01-01,2021
Phase/Matrix Transformation Weld Process And Apparatus,Phase/Matrix Transformation Weld Process And Apparatus,2021-01-01,2021
Gear Bearings,Gear Bearings,2021-01-01,2021
Universal Fiber Optic Connector Polishing Fixture With Precision Alignment Capability,Universal Fiber Optic Connector Polishing Fixture With Precision Alignment Capability,2021-01-01,2021
Method And Software For Extracting And Distilling Topically And Situationally Relevant Phrases From Collections Of Text Documents (Quorum/Perilog),Method And Software For Extracting And Distilling Topically And Situationally Relevant Phrases From Collections Of Text Documents (Quorum/Perilog),2021-01-01,2021
Model-based Phrase Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),Model-based Phrase Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),2021-01-01,2021
Keyword-in-context Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),Keyword-in-context Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),2021-01-01,2021
Method And Software For Using Implicit Phrase Models To Generate Prominent Phrases Contained In Collections Of Text Documents (Quorum/Perilog),Method And Software For Using Implicit Phrase Models To Generate Prominent Phrases Contained In Collections Of Text Documents (Quorum/Perilog),2021-01-01,2021
Method For Recursive Implementation Of Hierarchical Segmentation,Method For Recursive Implementation Of Hierarchical Segmentation,2021-01-01,2021
Method And Apparatus For Deploying A Hypervelocity Shield,Method And Apparatus For Deploying A Hypervelocity Shield,2022-01-01,2022
"Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof","Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",2022-01-01,2022
Synthesis Of Carbon Nanotubes Using High Average Power Ultrafast Laser Ablation,Synthesis Of Carbon Nanotubes Using High Average Power Ultrafast Laser Ablation,2022-01-01,2022
1-Way Bearing,1-Way Bearing,2022-01-01,2022
